spheres;BubbleSort;InsertSort;MergeSort
1000;0.002293301;0.002132225;0.00309186
2000;0.005177879;0.004659462;0.006052494
3000;0.009009456;0.007491398;0.00932846
4000;0.01153851;0.009516144;0.01232758
5000;NaN;0.01253128;0.01511269
6000;NaN;NaN;0.02023235
7000;NaN;NaN;0.02422734
8000;NaN;NaN;0.02642742
9000;NaN;NaN;0.03013972
