spheres;BubbleSort;InsertSort;MergeSort
1000;0.002305996;0.001902723;0.002677131
2000;0.004607725;0.003919554;0.005674458
3000;0.007514095;0.006438064;0.008522511
4000;0.01133652;0.009450817;0.01189003
5000;0.01573563;0.01274986;0.01523342
6000;0.02078915;0.01617203;0.02127647
7000;0.02643738;0.02010002;0.02374382
8000;NaN;0.02307249;0.02743301
9000;NaN;0.02807256;0.03128891
