spheres;BubbleSort;InsertSort;MergeSort
1000;0.001571596;0.001484132;0.00291214
2000;0.003691816;0.003183269;0.005178309
3000;0.006099415;0.004973888;0.007496881
4000;0.009363651;0.007246208;0.01004953
5000;NaN;0.009693849;0.01249018
6000;NaN;NaN;0.01555694
7000;NaN;NaN;0.01840591
8000;NaN;NaN;0.02119004
9000;NaN;NaN;0.02383804
