spheres;BubbleSort;InsertSort;MergeSort
1000;0.001584691;0.001475658;0.002857704
2000;0.003624115;0.003157444;0.005086288
3000;0.006210022;0.005046844;0.007458916
4000;0.009446259;0.007348099;0.00992073
5000;NaN;0.009932628;0.01275749
6000;NaN;NaN;0.0151131
7000;NaN;NaN;0.01802546
8000;NaN;NaN;0.02101373
9000;NaN;NaN;0.02423096
