spheres;BubbleSort;InsertSort;MergeSort
1000;0.00165875;0.001514816;0.00279034
1500;0.0025829;0.002314409;0.004059855
2000;0.003715801;0.003251012;0.005079333
2500;0.004944483;0.004178556;0.006308047
3000;0.006387965;0.005226135;0.007497787
3500;0.008038712;0.00626386;0.008701197
4000;0.009735744;0.007483673;0.010068
4500;0.01177724;0.008753586;0.01161906
5000;0.014018;0.01051661;0.01246618
5500;0.01641057;0.01162796;0.0141393
6000;0.01891479;0.01317469;0.01563136
6500;0.02150574;0.01495412;0.01683604
7000;0.02425079;0.01667481;0.01849518
7500;0.02712708;0.01860758;0.01968435
8000;0.03064474;0.02083588;0.02112528
8500;0.03502045;0.0225296;0.02290598
9000;0.03765157;0.02421875;0.02489319
9500;0.04064127;0.02711792;0.02576802
10000;0.0456248;0.02899882;0.02726542
10500;0.04986979;0.03239441;0.02915243
11000;0.05282288;0.03447774;0.03118693
11500;0.05745239;0.03713175;0.03286336
12000;0.06478272;0.03978271;0.03399048
12500;0.06685995;0.04164022;0.03531291
13000;0.07256266;0.0434082;0.0370992
13500;0.07416992;0.0463501;0.0388326
14000;0.08026733;0.05044759;0.04029541
14500;0.08597005;0.05195516;0.0421875
15000;0.09393717;0.05892334;0.04352621
15500;0.0984965;0.06246745;0.04567871
16000;0.1052978;0.06453858;0.04695231
16500;0.1088623;0.06905518;0.0491333
17000;0.1172811;0.07261149;0.05024414
17500;0.1215454;0.07446696;0.05182699
18000;0.1291911;0.07926432;0.05368245
18500;0.1345011;0.08167318;0.0560791
19000;0.1435466;0.08669027;0.05692139
19500;0.1495199;0.08861084;0.06002604
20000;0.1534546;0.093632;0.06000163
